f	k2	P	P_fit	P_n	P_s
3.3200	435.1469	4.2019e-02	2.8338e-02	7.0440e-04	2.7634e-02
3.3300	437.7722	4.3659e-02	2.7964e-02	7.0349e-04	2.7260e-02
3.3400	440.4054	4.5352e-02	2.7593e-02	7.0257e-04	2.6890e-02
3.3500	443.0465	4.7063e-02	2.7226e-02	7.0166e-04	2.6525e-02
3.3600	445.6955	4.8747e-02	2.6864e-02	7.0075e-04	2.6163e-02
3.3700	448.3524	5.0349e-02	2.6505e-02	6.9985e-04	2.5805e-02
3.3800	451.0172	5.1800e-02	2.6150e-02	6.9894e-04	2.5451e-02
3.3900	453.6899	5.3025e-02	2.5799e-02	6.9803e-04	2.5101e-02
3.4000	456.3705	5.3942e-02	2.5452e-02	6.9712e-04	2.4754e-02
3.4100	459.0590	5.4475e-02	2.5108e-02	6.9622e-04	2.4412e-02
3.4200	461.7554	5.4560e-02	2.4768e-02	6.9531e-04	2.4073e-02
3.4300	464.4596	5.4153e-02	2.4432e-02	6.9441e-04	2.3738e-02
3.4400	467.1718	5.3239e-02	2.4100e-02	6.9351e-04	2.3406e-02
3.4500	469.8919	5.1836e-02	2.3771e-02	6.9260e-04	2.3079e-02
3.4600	472.6198	4.9994e-02	2.3446e-02	6.9170e-04	2.2754e-02
3.4700	475.3557	4.7787e-02	2.3125e-02	6.9080e-04	2.2434e-02
3.4800	478.0994	4.5305e-02	2.2807e-02	6.8990e-04	2.2117e-02
3.4900	480.8511	4.2645e-02	2.2493e-02	6.8900e-04	2.1804e-02
3.5000	483.6106	3.9897e-02	2.2182e-02	6.8811e-04	2.1494e-02
3.5100	486.3781	3.7142e-02	2.1875e-02	6.8721e-04	2.1188e-02
3.5200	489.1534	3.4445e-02	2.1572e-02	6.8631e-04	2.0885e-02
3.5300	491.9366	3.1856e-02	2.1272e-02	6.8542e-04	2.0586e-02
3.5400	494.7277	2.9409e-02	2.0975e-02	6.8452e-04	2.0290e-02
3.5500	497.5268	2.7122e-02	2.0682e-02	6.8363e-04	1.9998e-02
3.5600	500.3337	2.5007e-02	2.0392e-02	6.8274e-04	1.9709e-02
3.5700	503.1485	2.3065e-02	2.0106e-02	6.8185e-04	1.9424e-02
3.5800	505.9712	2.1292e-02	1.9822e-02	6.8096e-04	1.9142e-02
3.5900	508.8018	1.9679e-02	1.9543e-02	6.8007e-04	1.8863e-02
3.6000	511.6403	1.8216e-02	1.9266e-02	6.7918e-04	1.8587e-02
3.6100	514.4867	1.6893e-02	1.8993e-02	6.7829e-04	1.8315e-02
3.6200	517.3410	1.5697e-02	1.8723e-02	6.7740e-04	1.8046e-02
3.6300	520.2032	1.4618e-02	1.8457e-02	6.7652e-04	1.7780e-02
3.6400	523.0732	1.3643e-02	1.8193e-02	6.7563e-04	1.7517e-02
3.6500	525.9512	1.2763e-02	1.7933e-02	6.7475e-04	1.7258e-02
3.6600	528.8371	1.1968e-02	1.7676e-02	6.7387e-04	1.7002e-02
3.6700	531.7309	1.1250e-02	1.7422e-02	6.7299e-04	1.6749e-02
3.6800	534.6325	1.0601e-02	1.7171e-02	6.7211e-04	1.6499e-02
3.6900	537.5421	1.0013e-02	1.6923e-02	6.7123e-04	1.6252e-02
3.7000	540.4595	9.4809e-03	1.6678e-02	6.7035e-04	1.6008e-02
3.7100	543.3849	8.9988e-03	1.6436e-02	6.6947e-04	1.5767e-02
3.7200	546.3181	8.5617e-03	1.6197e-02	6.6860e-04	1.5529e-02
3.7300	549.2593	8.1652e-03	1.5961e-02	6.6772e-04	1.5294e-02
3.7400	552.2083	7.8053e-03	1.5729e-02	6.6685e-04	1.5062e-02
3.7500	555.1652	7.4786e-03	1.5499e-02	6.6598e-04	1.4833e-02
3.7600	558.1301	7.1821e-03	1.5271e-02	6.6511e-04	1.4606e-02
3.7700	561.1028	6.9128e-03	1.5047e-02	6.6424e-04	1.4383e-02
3.7800	564.0834	6.6686e-03	1.4826e-02	6.6337e-04	1.4162e-02
3.7900	567.0719	6.4472e-03	1.4607e-02	6.6250e-04	1.3945e-02
3.8000	570.0684	6.2467e-03	1.4391e-02	6.6163e-04	1.3730e-02
3.8100	573.0727	6.0654e-03	1.4178e-02	6.6077e-04	1.3518e-02
3.8200	576.0849	5.9019e-03	1.3968e-02	6.5990e-04	1.3308e-02
3.8300	579.1050	5.7548e-03	1.3760e-02	6.5904e-04	1.3101e-02
3.8400	582.1330	5.6230e-03	1.3555e-02	6.5818e-04	1.2897e-02
3.8500	585.1688	5.5054e-03	1.3353e-02	6.5732e-04	1.2696e-02
3.8600	588.2126	5.4011e-03	1.3154e-02	6.5646e-04	1.2497e-02
3.8700	591.2643	5.3094e-03	1.2957e-02	6.5560e-04	1.2301e-02
3.8800	594.3239	5.2296e-03	1.2762e-02	6.5474e-04	1.2107e-02
3.8900	597.3914	5.1609e-03	1.2570e-02	6.5389e-04	1.1916e-02
3.9000	600.4667	5.1029e-03	1.2381e-02	6.5303e-04	1.1728e-02
3.9100	603.5500	5.0552e-03	1.2194e-02	6.5218e-04	1.1542e-02
3.9200	606.6412	5.0172e-03	1.2010e-02	6.5133e-04	1.1358e-02
3.9300	609.7402	4.9888e-03	1.1828e-02	6.5048e-04	1.1177e-02
3.9400	612.8472	4.9695e-03	1.1648e-02	6.4963e-04	1.0999e-02
3.9500	615.9620	4.9593e-03	1.1471e-02	6.4878e-04	1.0823e-02
3.9600	619.0848	4.9577e-03	1.1297e-02	6.4794e-04	1.0649e-02
3.9700	622.2154	4.9648e-03	1.1124e-02	6.4709e-04	1.0477e-02
3.9800	625.3539	4.9804e-03	1.0955e-02	6.4625e-04	1.0308e-02
3.9900	628.5004	5.0043e-03	1.0787e-02	6.4540e-04	1.0141e-02
4.0000	631.6547	5.0365e-03	1.0622e-02	6.4456e-04	9.9770e-03
4.0100	634.8169	5.0770e-03	1.0458e-02	6.4372e-04	9.8148e-03
4.0200	637.9870	5.1256e-03	1.0298e-02	6.4288e-04	9.6548e-03
4.0300	641.1650	5.1824e-03	1.0139e-02	6.4205e-04	9.4970e-03
4.0400	644.3509	5.2473e-03	9.9826e-03	6.4121e-04	9.3414e-03
4.0500	647.5447	5.3202e-03	9.8284e-03	6.4038e-04	9.1880e-03
4.0600	650.7464	5.4010e-03	9.6763e-03	6.3954e-04	9.0368e-03
4.0700	653.9560	5.4895e-03	9.5264e-03	6.3871e-04	8.8877e-03
4.0800	657.1735	5.5857e-03	9.3785e-03	6.3788e-04	8.7406e-03
4.0900	660.3989	5.6892e-03	9.2328e-03	6.3705e-04	8.5957e-03
4.1000	663.6322	5.7997e-03	9.0890e-03	6.3622e-04	8.4528e-03
4.1100	666.8734	5.9168e-03	8.9474e-03	6.3540e-04	8.3120e-03
4.1200	670.1225	6.0399e-03	8.8077e-03	6.3457e-04	8.1731e-03
4.1300	673.3794	6.1682e-03	8.6700e-03	6.3375e-04	8.0363e-03
4.1400	676.6443	6.3010e-03	8.5343e-03	6.3293e-04	7.9014e-03
4.1500	679.9170	6.4372e-03	8.4006e-03	6.3211e-04	7.7685e-03
4.1600	683.1977	6.5755e-03	8.2688e-03	6.3129e-04	7.6375e-03
4.1700	686.4863	6.7144e-03	8.1388e-03	6.3047e-04	7.5084e-03
4.1800	689.7827	6.8523e-03	8.0108e-03	6.2965e-04	7.3811e-03
4.1900	693.0870	6.9873e-03	7.8846e-03	6.2884e-04	7.2558e-03
4.2000	696.3993	7.1173e-03	7.7603e-03	6.2802e-04	7.1323e-03
4.2100	699.7194	7.2402e-03	7.6378e-03	6.2721e-04	7.0105e-03
4.2200	703.0475	7.3534e-03	7.5170e-03	6.2640e-04	6.8906e-03
4.2300	706.3834	7.4547e-03	7.3981e-03	6.2559e-04	6.7725e-03
4.2400	709.7272	7.5418e-03	7.2809e-03	6.2479e-04	6.6561e-03
4.2500	713.0789	7.6123e-03	7.1654e-03	6.2398e-04	6.5414e-03
4.2600	716.4385	7.6643e-03	7.0517e-03	6.2317e-04	6.4285e-03
4.2700	719.8060	7.6961e-03	6.9396e-03	6.2237e-04	6.3172e-03
4.2800	723.1814	7.7064e-03	6.8292e-03	6.2157e-04	6.2076e-03
4.2900	726.5647	7.6944e-03	6.7205e-03	6.2077e-04	6.0997e-03
4.3000	729.9559	7.6599e-03	6.6134e-03	6.1997e-04	5.9934e-03
4.3100	733.3550	7.6031e-03	6.5079e-03	6.1917e-04	5.8887e-03
4.3200	736.7620	7.5249e-03	6.4040e-03	6.1838e-04	5.7856e-03
4.3300	740.1769	7.4265e-03	6.3017e-03	6.1758e-04	5.6841e-03
4.3400	743.5997	7.3097e-03	6.2009e-03	6.1679e-04	5.5841e-03
4.3500	747.0304	7.1765e-03	6.1017e-03	6.1600e-04	5.4857e-03
4.3600	750.4689	7.0293e-03	6.0040e-03	6.1521e-04	5.3888e-03
4.3700	753.9154	6.8704e-03	5.9078e-03	6.1442e-04	5.2933e-03
4.3800	757.3698	6.7025e-03	5.8130e-03	6.1363e-04	5.1994e-03
4.3900	760.8320	6.5277e-03	5.7197e-03	6.1285e-04	5.1069e-03
4.4000	764.3022	6.3486e-03	5.6279e-03	6.1207e-04	5.0158e-03
4.4100	767.7802	6.1672e-03	5.5375e-03	6.1128e-04	4.9262e-03
4.4200	771.2662	5.9853e-03	5.4485e-03	6.1050e-04	4.8380e-03
4.4300	774.7600	5.8048e-03	5.3609e-03	6.0972e-04	4.7511e-03
4.4400	778.2617	5.6270e-03	5.2746e-03	6.0895e-04	4.6657e-03
4.4500	781.7714	5.4531e-03	5.1897e-03	6.0817e-04	4.5815e-03
4.4600	785.2889	5.2841e-03	5.1061e-03	6.0740e-04	4.4987e-03
4.4700	788.8143	5.1208e-03	5.0239e-03	6.0662e-04	4.4173e-03
4.4800	792.3476	4.9637e-03	4.9429e-03	6.0585e-04	4.3371e-03
4.4900	795.8888	4.8132e-03	4.8633e-03	6.0508e-04	4.2582e-03
4.5000	799.4380	4.6696e-03	4.7849e-03	6.0431e-04	4.1806e-03
4.5100	802.9950	4.5330e-03	4.7077e-03	6.0355e-04	4.1042e-03
4.5200	806.5599	4.4035e-03	4.6318e-03	6.0278e-04	4.0290e-03
4.5300	810.1327	4.2811e-03	4.5571e-03	6.0202e-04	3.9551e-03
4.5400	813.7134	4.1656e-03	4.4836e-03	6.0126e-04	3.8823e-03
4.5500	817.3019	4.0569e-03	4.4113e-03	6.0050e-04	3.8108e-03
4.5600	820.8984	3.9548e-03	4.3401e-03	5.9974e-04	3.7404e-03
4.5700	824.5028	3.8591e-03	4.2701e-03	5.9898e-04	3.6711e-03
4.5800	828.1151	3.7696e-03	4.2013e-03	5.9823e-04	3.6030e-03
4.5900	831.7352	3.6859e-03	4.1335e-03	5.9747e-04	3.5360e-03
4.6000	835.3633	3.6078e-03	4.0669e-03	5.9672e-04	3.4702e-03
4.6100	838.9993	3.5351e-03	4.0013e-03	5.9597e-04	3.4054e-03
4.6200	842.6431	3.4674e-03	3.9368e-03	5.9522e-04	3.3416e-03
4.6300	846.2949	3.4046e-03	3.8734e-03	5.9447e-04	3.2790e-03
4.6400	849.9545	3.3463e-03	3.8111e-03	5.9373e-04	3.2173e-03
4.6500	853.6221	3.2923e-03	3.7497e-03	5.9298e-04	3.1567e-03
4.6600	857.2975	3.2423e-03	3.6894e-03	5.9224e-04	3.0972e-03
4.6700	860.9809	3.1961e-03	3.6301e-03	5.9150e-04	3.0386e-03
4.6800	864.6721	3.1534e-03	3.5717e-03	5.9076e-04	2.9810e-03
4.6900	868.3712	3.1140e-03	3.5144e-03	5.9002e-04	2.9244e-03
4.7000	872.0782	3.0775e-03	3.4580e-03	5.8928e-04	2.8687e-03
4.7100	875.7932	3.0439e-03	3.4025e-03	5.8855e-04	2.8140e-03
4.7200	879.5160	3.0129e-03	3.3480e-03	5.8782e-04	2.7602e-03
4.7300	883.2467	2.9842e-03	3.2944e-03	5.8708e-04	2.7073e-03
4.7400	886.9853	2.9576e-03	3.2417e-03	5.8635e-04	2.6553e-03
4.7500	890.7318	2.9328e-03	3.1899e-03	5.8563e-04	2.6043e-03
4.7600	894.4862	2.9097e-03	3.1390e-03	5.8490e-04	2.5541e-03
4.7700	898.2485	2.8880e-03	3.0889e-03	5.8418e-04	2.5047e-03
4.7800	902.0187	2.8676e-03	3.0397e-03	5.8345e-04	2.4563e-03
4.7900	905.7968	2.8481e-03	2.9913e-03	5.8273e-04	2.4086e-03
4.8000	909.5827	2.8294e-03	2.9438e-03	5.8201e-04	2.3618e-03
4.8100	913.3766	2.8113e-03	2.8971e-03	5.8129e-04	2.3158e-03
4.8200	917.1784	2.7936e-03	2.8512e-03	5.8057e-04	2.2706e-03
4.8300	920.9881	2.7760e-03	2.8061e-03	5.7986e-04	2.2262e-03
4.8400	924.8056	2.7584e-03	2.7617e-03	5.7915e-04	2.1826e-03
4.8500	928.6311	2.7407e-03	2.7181e-03	5.7843e-04	2.1397e-03
4.8600	932.4644	2.7225e-03	2.6753e-03	5.7772e-04	2.0976e-03
4.8700	936.3057	2.7039e-03	2.6333e-03	5.7702e-04	2.0563e-03
4.8800	940.1548	2.6846e-03	2.5919e-03	5.7631e-04	2.0156e-03
4.8900	944.0119	2.6646e-03	2.5513e-03	5.7560e-04	1.9757e-03
4.9000	947.8768	2.6436e-03	2.5114e-03	5.7490e-04	1.9365e-03
4.9100	951.7496	2.6217e-03	2.4722e-03	5.7420e-04	1.8980e-03
4.9200	955.6304	2.5988e-03	2.4337e-03	5.7350e-04	1.8602e-03
4.9300	959.5190	2.5748e-03	2.3959e-03	5.7280e-04	1.8231e-03
4.9400	963.4155	2.5497e-03	2.3587e-03	5.7210e-04	1.7866e-03
4.9500	967.3199	2.5235e-03	2.3223e-03	5.7141e-04	1.7508e-03
4.9600	971.2322	2.4962e-03	2.2864e-03	5.7071e-04	1.7157e-03
4.9700	975.1524	2.4679e-03	2.2512e-03	5.7002e-04	1.6812e-03
4.9800	979.0805	2.4386e-03	2.2166e-03	5.6933e-04	1.6473e-03
4.9900	983.0165	2.4084e-03	2.1827e-03	5.6864e-04	1.6140e-03
5.0000	986.9604	2.3774e-03	2.1493e-03	5.6795e-04	1.5813e-03
5.0100	990.9122	2.3456e-03	2.1165e-03	5.6727e-04	1.5493e-03
5.0200	994.8719	2.3132e-03	2.0844e-03	5.6659e-04	1.5178e-03
5.0300	998.8395	2.2804e-03	2.0528e-03	5.6590e-04	1.4869e-03
5.0400	1002.8150	2.2472e-03	2.0218e-03	5.6522e-04	1.4566e-03
5.0500	1006.7983	2.2137e-03	1.9913e-03	5.6454e-04	1.4268e-03
5.0600	1010.7896	2.1801e-03	1.9614e-03	5.6387e-04	1.3976e-03
5.0700	1014.7888	2.1466e-03	1.9321e-03	5.6319e-04	1.3689e-03
5.0800	1018.7958	2.1132e-03	1.9033e-03	5.6252e-04	1.3408e-03
5.0900	1022.8108	2.0800e-03	1.8750e-03	5.6185e-04	1.3131e-03
5.1000	1026.8336	2.0472e-03	1.8472e-03	5.6117e-04	1.2860e-03
5.1100	1030.8644	2.0149e-03	1.8199e-03	5.6051e-04	1.2594e-03
5.1200	1034.9030	1.9831e-03	1.7932e-03	5.5984e-04	1.2333e-03
5.1300	1038.9496	1.9520e-03	1.7669e-03	5.5917e-04	1.2077e-03
5.1400	1043.0040	1.9217e-03	1.7411e-03	5.5851e-04	1.1826e-03
5.1500	1047.0663	1.8921e-03	1.7158e-03	5.5785e-04	1.1580e-03
5.1600	1051.1366	1.8634e-03	1.6910e-03	5.5719e-04	1.1338e-03
5.1700	1055.2147	1.8356e-03	1.6666e-03	5.5653e-04	1.1101e-03
5.1800	1059.3007	1.8088e-03	1.6427e-03	5.5587e-04	1.0868e-03
5.1900	1063.3946	1.7829e-03	1.6192e-03	5.5522e-04	1.0640e-03
5.2000	1067.4964	1.7581e-03	1.5962e-03	5.5456e-04	1.0416e-03
5.2100	1071.6061	1.7343e-03	1.5735e-03	5.5391e-04	1.0196e-03
5.2200	1075.7237	1.7115e-03	1.5514e-03	5.5326e-04	9.9811e-04
5.2300	1079.8492	1.6897e-03	1.5296e-03	5.5261e-04	9.7698e-04
5.2400	1083.9826	1.6690e-03	1.5082e-03	5.5196e-04	9.5627e-04
5.2500	1088.1239	1.6493e-03	1.4873e-03	5.5132e-04	9.3596e-04
5.2600	1092.2731	1.6306e-03	1.4667e-03	5.5067e-04	9.1604e-04
5.2700	1096.4301	1.6129e-03	1.4465e-03	5.5003e-04	8.9651e-04
5.2800	1100.5951	1.5961e-03	1.4268e-03	5.4939e-04	8.7736e-04
5.2900	1104.7680	1.5803e-03	1.4073e-03	5.4875e-04	8.5858e-04
5.3000	1108.9488	1.5653e-03	1.3883e-03	5.4812e-04	8.4018e-04
5.3100	1113.1374	1.5512e-03	1.3696e-03	5.4748e-04	8.2213e-04
5.3200	1117.3340	1.5378e-03	1.3513e-03	5.4685e-04	8.0443e-04
5.3300	1121.5384	1.5253e-03	1.3333e-03	5.4621e-04	7.8709e-04
5.3400	1125.7508	1.5134e-03	1.3157e-03	5.4558e-04	7.7009e-04
5.3500	1129.9710	1.5021e-03	1.2984e-03	5.4495e-04	7.5342e-04
5.3600	1134.1991	1.4915e-03	1.2814e-03	5.4433e-04	7.3709e-04
5.3700	1138.4352	1.4814e-03	1.2648e-03	5.4370e-04	7.2108e-04
5.3800	1142.6791	1.4717e-03	1.2485e-03	5.4308e-04	7.0538e-04
5.3900	1146.9309	1.4625e-03	1.2325e-03	5.4246e-04	6.9001e-04
5.4000	1151.1907	1.4535e-03	1.2168e-03	5.4184e-04	6.7494e-04
5.4100	1155.4583	1.4449e-03	1.2014e-03	5.4122e-04	6.6017e-04
5.4200	1159.7338	1.4364e-03	1.1863e-03	5.4060e-04	6.4569e-04
5.4300	1164.0172	1.4280e-03	1.1715e-03	5.3998e-04	6.3151e-04
5.4400	1168.3085	1.4197e-03	1.1570e-03	5.3937e-04	6.1762e-04
5.4500	1172.6077	1.4114e-03	1.1428e-03	5.3876e-04	6.0401e-04
5.4600	1176.9148	1.4030e-03	1.1288e-03	5.3815e-04	5.9067e-04
5.4700	1181.2298	1.3944e-03	1.1151e-03	5.3754e-04	5.7760e-04
5.4800	1185.5527	1.3856e-03	1.1017e-03	5.3693e-04	5.6480e-04
5.4900	1189.8835	1.3766e-03	1.0886e-03	5.3633e-04	5.5226e-04
5.5000	1194.2221	1.3672e-03	1.0757e-03	5.3572e-04	5.3998e-04
5.5100	1198.5687	1.3574e-03	1.0631e-03	5.3512e-04	5.2795e-04
5.5200	1202.9232	1.3472e-03	1.0507e-03	5.3452e-04	5.1616e-04
5.5300	1207.2855	1.3365e-03	1.0385e-03	5.3392e-04	5.0462e-04
5.5400	1211.6558	1.3253e-03	1.0266e-03	5.3332e-04	4.9332e-04
5.5500	1216.0340	1.3136e-03	1.0150e-03	5.3273e-04	4.8224e-04
5.5600	1220.4200	1.3014e-03	1.0035e-03	5.3213e-04	4.7140e-04
5.5700	1224.8140	1.2887e-03	9.9233e-04	5.3154e-04	4.6079e-04
5.5800	1229.2158	1.2754e-03	9.8134e-04	5.3095e-04	4.5039e-04
5.5900	1233.6255	1.2616e-03	9.7057e-04	5.3036e-04	4.4021e-04
5.6000	1238.0432	1.2473e-03	9.6002e-04	5.2977e-04	4.3024e-04
5.6100	1242.4687	1.2325e-03	9.4967e-04	5.2919e-04	4.2048e-04
5.6200	1246.9021	1.2173e-03	9.3953e-04	5.2860e-04	4.1093e-04
5.6300	1251.3435	1.2017e-03	9.2960e-04	5.2802e-04	4.0158e-04
5.6400	1255.7927	1.1858e-03	9.1986e-04	5.2744e-04	3.9242e-04
5.6500	1260.2498	1.1696e-03	9.1032e-04	5.2686e-04	3.8346e-04
5.6600	1264.7148	1.1531e-03	9.0097e-04	5.2628e-04	3.7468e-04
5.6700	1269.1877	1.1365e-03	8.9180e-04	5.2571e-04	3.6609e-04
5.6800	1273.6685	1.1197e-03	8.8282e-04	5.2513e-04	3.5769e-04
5.6900	1278.1572	1.1029e-03	8.7402e-04	5.2456e-04	3.4946e-04
5.7000	1282.6538	1.0861e-03	8.6540e-04	5.2399e-04	3.4141e-04
5.7100	1287.1583	1.0694e-03	8.5695e-04	5.2342e-04	3.3353e-04
5.7200	1291.6707	1.0528e-03	8.4867e-04	5.2285e-04	3.2581e-04
5.7300	1296.1909	1.0364e-03	8.4056e-04	5.2229e-04	3.1827e-04
5.7400	1300.7191	1.0203e-03	8.3261e-04	5.2172e-04	3.1088e-04
5.7500	1305.2552	1.0045e-03	8.2482e-04	5.2116e-04	3.0366e-04
5.7600	1309.7991	9.8897e-04	8.1719e-04	5.2060e-04	2.9659e-04
5.7700	1314.3510	9.7386e-04	8.0971e-04	5.2004e-04	2.8967e-04
5.7800	1318.9108	9.5919e-04	8.0239e-04	5.1948e-04	2.8290e-04
5.7900	1323.4784	9.4498e-04	7.9521e-04	5.1893e-04	2.7628e-04
5.8000	1328.0540	9.3126e-04	7.8818e-04	5.1837e-04	2.6981e-04
5.8100	1332.6374	9.1808e-04	7.8129e-04	5.1782e-04	2.6347e-04
5.8200	1337.2288	9.0544e-04	7.7454e-04	5.1727e-04	2.5727e-04
5.8300	1341.8280	8.9338e-04	7.6793e-04	5.1672e-04	2.5121e-04
5.8400	1346.4351	8.8190e-04	7.6145e-04	5.1617e-04	2.4528e-04
5.8500	1351.0501	8.7103e-04	7.5511e-04	5.1562e-04	2.3948e-04
5.8600	1355.6731	8.6077e-04	7.4889e-04	5.1508e-04	2.3381e-04
5.8700	1360.3039	8.5114e-04	7.4280e-04	5.1454e-04	2.2827e-04
5.8800	1364.9426	8.4213e-04	7.3684e-04	5.1399e-04	2.2284e-04
5.8900	1369.5892	8.3376e-04	7.3099e-04	5.1345e-04	2.1754e-04
5.9000	1374.2437	8.2602e-04	7.2527e-04	5.1292e-04	2.1235e-04
5.9100	1378.9061	8.1891e-04	7.1966e-04	5.1238e-04	2.0728e-04
5.9200	1383.5764	8.1244e-04	7.1417e-04	5.1184e-04	2.0232e-04
5.9300	1388.2546	8.0659e-04	7.0879e-04	5.1131e-04	1.9747e-04
5.9400	1392.9407	8.0136e-04	7.0351e-04	5.1078e-04	1.9274e-04
5.9500	1397.6347	7.9674e-04	6.9835e-04	5.1025e-04	1.8810e-04
5.9600	1402.3366	7.9273e-04	6.9329e-04	5.0972e-04	1.8357e-04
5.9700	1407.0463	7.8931e-04	6.8834e-04	5.0919e-04	1.7914e-04
5.9800	1411.7640	7.8647e-04	6.8348e-04	5.0867e-04	1.7482e-04
5.9900	1416.4896	7.8419e-04	6.7873e-04	5.0814e-04	1.7058e-04
6.0000	1421.2230	7.8247e-04	6.7407e-04	5.0762e-04	1.6645e-04
6.0100	1425.9644	7.8127e-04	6.6951e-04	5.0710e-04	1.6241e-04
6.0200	1430.7136	7.8059e-04	6.6504e-04	5.0658e-04	1.5846e-04
6.0300	1435.4708	7.8039e-04	6.6066e-04	5.0607e-04	1.5460e-04
6.0400	1440.2358	7.8066e-04	6.5638e-04	5.0555e-04	1.5083e-04
6.0500	1445.0088	7.8136e-04	6.5217e-04	5.0504e-04	1.4714e-04
6.0600	1449.7896	7.8246e-04	6.4806e-04	5.0452e-04	1.4354e-04
6.0700	1454.5783	7.8394e-04	6.4403e-04	5.0401e-04	1.4002e-04
6.0800	1459.3750	7.8575e-04	6.4008e-04	5.0350e-04	1.3658e-04
6.0900	1464.1795	7.8785e-04	6.3621e-04	5.0299e-04	1.3322e-04
6.1000	1468.9919	7.9019e-04	6.3242e-04	5.0249e-04	1.2994e-04
6.1100	1473.8122	7.9274e-04	6.2871e-04	5.0198e-04	1.2673e-04
6.1200	1478.6404	7.9543e-04	6.2508e-04	5.0148e-04	1.2360e-04
6.1300	1483.4766	7.9820e-04	6.2152e-04	5.0098e-04	1.2054e-04
6.1400	1488.3206	8.0101e-04	6.1803e-04	5.0048e-04	1.1755e-04
6.1500	1493.1724	8.0378e-04	6.1461e-04	4.9998e-04	1.1463e-04
6.1600	1498.0322	8.0644e-04	6.1126e-04	4.9948e-04	1.1178e-04
6.1700	1502.8999	8.0893e-04	6.0798e-04	4.9899e-04	1.0899e-04
6.1800	1507.7755	8.1117e-04	6.0477e-04	4.9850e-04	1.0627e-04
6.1900	1512.6590	8.1309e-04	6.0162e-04	4.9800e-04	1.0361e-04
6.2000	1517.5504	8.1462e-04	5.9853e-04	4.9751e-04	1.0102e-04
6.2100	1522.4496	8.1568e-04	5.9551e-04	4.9702e-04	9.8485e-05
6.2200	1527.3568	8.1620e-04	5.9255e-04	4.9654e-04	9.6011e-05
6.2300	1532.2719	8.1612e-04	5.8965e-04	4.9605e-04	9.3596e-05
6.2400	1537.1948	8.1538e-04	5.8680e-04	4.9557e-04	9.1237e-05
6.2500	1542.1257	8.1391e-04	5.8402e-04	4.9508e-04	8.8935e-05
6.2600	1547.0644	8.1168e-04	5.8129e-04	4.9460e-04	8.6686e-05
6.2700	1552.0111	8.0864e-04	5.7862e-04	4.9412e-04	8.4492e-05
6.2800	1556.9656	8.0477e-04	5.7600e-04	4.9365e-04	8.2349e-05
6.2900	1561.9281	8.0004e-04	5.7343e-04	4.9317e-04	8.0257e-05
6.3000	1566.8984	7.9446e-04	5.7091e-04	4.9270e-04	7.8216e-05
6.3100	1571.8766	7.8804e-04	5.6845e-04	4.9222e-04	7.6223e-05
6.3200	1576.8627	7.8079e-04	5.6603e-04	4.9175e-04	7.4278e-05
6.3300	1581.8568	7.7274e-04	5.6366e-04	4.9128e-04	7.2380e-05
6.3400	1586.8587	7.6394e-04	5.6134e-04	4.9081e-04	7.0527e-05
6.3500	1591.8685	7.5444e-04	5.5906e-04	4.9035e-04	6.8719e-05
6.3600	1596.8862	7.4429e-04	5.5683e-04	4.8988e-04	6.6954e-05
6.3700	1601.9118	7.3357e-04	5.5465e-04	4.8942e-04	6.5232e-05
6.3800	1606.9453	7.2235e-04	5.5251e-04	4.8895e-04	6.3552e-05
6.3900	1611.9867	7.1070e-04	5.5041e-04	4.8849e-04	6.1912e-05
6.4000	1617.0360	6.9871e-04	5.4835e-04	4.8803e-04	6.0313e-05
6.4100	1622.0932	6.8645e-04	5.4633e-04	4.8758e-04	5.8752e-05
6.4200	1627.1583	6.7399e-04	5.4435e-04	4.8712e-04	5.7229e-05
6.4300	1632.2312	6.6143e-04	5.4241e-04	4.8666e-04	5.5744e-05
6.4400	1637.3121	6.4882e-04	5.4051e-04	4.8621e-04	5.4295e-05
6.4500	1642.4009	6.3624e-04	5.3864e-04	4.8576e-04	5.2881e-05
6.4600	1647.4975	6.2374e-04	5.3681e-04	4.8531e-04	5.1502e-05
6.4700	1652.6021	6.1140e-04	5.3502e-04	4.8486e-04	5.0157e-05
6.4800	1657.7145	5.9925e-04	5.3326e-04	4.8441e-04	4.8845e-05
6.4900	1662.8349	5.8736e-04	5.3153e-04	4.8397e-04	4.7566e-05
6.5000	1667.9631	5.7575e-04	5.2984e-04	4.8353e-04	4.6318e-05
6.5100	1673.0993	5.6447e-04	5.2818e-04	4.8308e-04	4.5101e-05
6.5200	1678.2433	5.5354e-04	5.2656e-04	4.8264e-04	4.3914e-05
6.5300	1683.3953	5.4299e-04	5.2496e-04	4.8220e-04	4.2756e-05
6.5400	1688.5551	5.3284e-04	5.2339e-04	4.8176e-04	4.1628e-05
6.5500	1693.7228	5.2310e-04	5.2186e-04	4.8133e-04	4.0527e-05
6.5600	1698.8984	5.1380e-04	5.2035e-04	4.8089e-04	3.9454e-05
6.5700	1704.0819	5.0493e-04	5.1887e-04	4.8046e-04	3.8408e-05
6.5800	1709.2734	4.9650e-04	5.1742e-04	4.8003e-04	3.7388e-05
6.5900	1714.4727	4.8852e-04	5.1599e-04	4.7960e-04	3.6394e-05
6.6000	1719.6799	4.8099e-04	5.1459e-04	4.7917e-04	3.5425e-05
